idx,label,nov_score
12,NG_065155.1,-0.07996676091970334
71,NG_065153.1,-0.0800584522789467
279,NG_065156.1,-0.08011584550666628
1149,NG_065158.1,-0.08037713103832045
1279,NG_063529.1,-0.08044372385067544
1227,NG_070788.1,-0.08102129595951746
1485,NG_063532.1,-0.08133782624542674
821,NG_063101.1,-0.08133863711932798
1123,NG_065158.1,-0.0816337668057483
1978,NG_062442.1,-0.08168267819593833
1646,NG_063105.1,-0.08182129186427078
429,NG_061105.1,-0.08187502659731838
1624,NG_063105.1,-0.08205064099967874
1809,NG_070799.1,-0.0820736565356931
53,NG_065153.1,-0.082155364986223
1640,NG_063105.1,-0.08218006690115465
176,NG_063110.1,-0.08220451308253629
816,NG_063101.1,-0.08227245907871472
1787,NG_063107.1,-0.08259302975375504
27,NG_065155.1,-0.08268007314224479
1247,NG_070788.1,-0.08361118592003258
1723,NG_063108.1,-0.08402449336019191
1604,NG_063105.1,-0.08417480063549043
1240,NG_070788.1,-0.08420385341502234
1615,NG_063105.1,-0.08433850529852016
947,NG_065802.1,-0.0843998680036736
639,NG_063522.1,-0.08440206325343169
62,NG_065153.1,-0.08453580700778895
1864,NG_065159.1,-0.08454993215693418
945,NG_065802.1,-0.08465570775571474
1659,NG_063104.1,-0.08511728640523142
1791,NG_063107.1,-0.085155618887782
1835,NG_070799.1,-0.08518795095293119
1826,NG_070799.1,-0.08533216747162298
24,NG_065155.1,-0.085344459478219
1931,NG_061300.1,-0.08536551750722665
740,NG_061034.1,-0.08536752161671701
1306,NG_063530.1,-0.08538620389680074
1843,NG_070799.1,-0.08581626771272888
1682,NG_063104.1,-0.08606685484318499
919,NG_065802.1,-0.08629668592999529
2023,NG_017185.1,-0.08629742064840384
283,NG_065156.1,-0.08632958749901742
1899,NG_065159.1,-0.08652319823518428
1661,NG_063104.1,-0.08659212885575351
1196,NG_062444.1,-0.08659212885575351
1754,NG_063107.1,-0.08662642141534527
1204,NG_070788.1,-0.08662673967251489
276,NG_065156.1,-0.08686652790307237
980,NG_065154.1,-0.08688340911400305
1802,NG_070799.1,-0.08691660600657414
1195,NG_062444.1,-0.08708123248075406
737,NG_061034.1,-0.08730252523822501
1278,NG_063529.1,-0.08756156774705681
1713,NG_063108.1,-0.0876029918567387
1101,NG_065158.1,-0.08767011533361402
1873,NG_065159.1,-0.08791847969097144
1711,NG_063108.1,-0.08816888275422397
452,NG_062443.1,-0.08817588137788324
1911,NG_061300.1,-0.08864238851882522
1901,NG_061300.1,-0.08864238851882522
1610,NG_063105.1,-0.08883357969787264
1694,NG_063104.1,-0.08888559747972746
315,NG_061033.1,-0.08899265917619414
1975,NG_062442.1,-0.08900473071814397
1916,NG_061300.1,-0.08905786178673214
642,NG_063522.1,-0.08917117890427229
514,NG_062140.1,-0.08928034021745934
1349,NG_063530.1,-0.08933898718568922
1186,NG_062444.1,-0.08937804699141372
322,NG_061033.1,-0.0894050389837352
475,NG_062443.1,-0.08962606216593172
1102,NG_065158.1,-0.08966363295464208
1165,NG_062444.1,-0.08973566949209044
1113,NG_065158.1,-0.08984407578473885
52,NG_065153.1,-0.08987024168553648
1637,NG_063105.1,-0.08995488873238022
1178,NG_062444.1,-0.09007111083733221
289,NG_065156.1,-0.09038064608743457
1850,NG_065159.1,-0.0904455514681598
971,NG_065154.1,-0.09047339044095692
1191,NG_062444.1,-0.09066594558574315
99,NG_065153.1,-0.09095519793128326
1681,NG_063104.1,-0.0909683784891514
